"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa04014","Ras signaling pathway",93,0.334939244106341,1.66384958667269,0.00399928314943144,0.0132283981096578,0.00804945364952077,1176,"tags=33%, list=19%, signal=27%","7535/10235/5293/5579/1436/5880/23179/64926/2113/22821/1435/2323/54331/59345/8844/8605/25780/2324/2114/5335/7074/5159/5336/2791/5154/5900/6789/11186/382/27040/6464"
"hsa03430","Mismatch repair",14,-0.593027860573991,-1.86747447853748,0.00531658060854821,0.017394464817098,0.0105844968637001,1353,"tags=57%, list=22%, signal=44%","5981/5111/27030/10714/2956/5983/5985/4437"
"hsa04924","Renin secretion",28,0.495733085123293,1.87487375642108,0.00614798445903864,0.0197652263006295,0.0120271004592045,737,"tags=36%, list=12%, signal=32%","1906/5734/5330/3778/3708/358/1508/3709/3710/154"
"hsa04370","VEGF signaling pathway",31,0.477921282331488,1.85017516699894,0.00617252914371817,0.0197652263006295,0.0120271004592045,827,"tags=35%, list=14%, signal=31%","5293/5579/5880/9047/4773/6300/8877/8605/5600/5335/5336"
"hsa05134","Legionellosis",22,0.506471309459837,1.80676577180668,0.00631457479346901,0.019798823050356,0.0120475440138553,907,"tags=41%, list=15%, signal=35%","929/718/3689/4792/3684/7097/29108/4791/4615"
"hsa04540","Gap junction",38,0.433437400080591,1.76948624334813,0.00627894607587629,0.019798823050356,0.0120475440138553,1375,"tags=47%, list=23%, signal=37%","5579/5330/113/3708/3709/3710/2697/109/5159/5592/5154/2982/196883/5598/84617/6654/2776/5594"
"hsa04912","GnRH signaling pathway",49,0.393826440238035,1.70308906445902,0.00674338805372927,0.0209253588059022,0.0127330387558209,1123,"tags=37%, list=19%, signal=30%","4313/5579/5330/113/2185/1958/3708/3709/3710/6300/4323/109/8605/5600/196883/5598/5606/3725"
"hsa05321","Inflammatory bowel disease",15,0.570746845136616,1.8076628245824,0.00707799352858829,0.0217395515520926,0.0132284734046656,1218,"tags=67%, list=20%, signal=53%","3561/4094/7097/7040/6772/3460/6774/3725/6095/7043"
"hsa03250","Viral life cycle - HIV-1",33,0.447963735265735,1.75624392413022,0.00753446777396297,0.0229078262622511,0.0139393662165822,1491,"tags=48%, list=25%, signal=37%","7852/920/25939/4600/684/29969/4599/256987/11168/4131/636/5045/22936/85363/8178/4130"
"hsa05160","Hepatitis C",69,0.34602216831843,1.63247768126371,0.00840188106068506,0.025289661992662,0.0153887084690442,1015,"tags=33%, list=17%, signal=28%","5293/7122/4600/4939/9021/4792/91543/4938/8837/10062/6773/7132/637/4940/9641/3716/3434/6772/3455/4599/6774/24146/7297"
"hsa05143","African trypanosomiasis",10,0.663357681552123,1.85530032392982,0.00872545491013664,0.0260035834450607,0.0158231282372462,907,"tags=60%, list=15%, signal=51%","5579/3383/5330/8542/3910/4615"
"hsa04068","FoxO signaling pathway",70,0.338339478408585,1.60993047104567,0.0118636704068403,0.0350094587495972,0.0213031852506729,861,"tags=27%, list=14%, signal=24%","3575/11067/5293/7048/6446/10365/4616/1901/2308/6300/604/9454/1647/6648/7040/894/5600/1263/472"
"hsa05416","Viral myocarditis",24,0.483751119901507,1.76725996116542,0.0125310768962962,0.0366199431629627,0.0222831617777776,276,"tags=25%, list=5%, signal=24%","3383/3689/5880/3683/2534/857"
"hsa05032","Morphine addiction",22,0.475474438069766,1.69618875546906,0.0142487366413972,0.0410974977840798,0.0250077447610767,1305,"tags=50%, list=22%, signal=39%","5579/113/2550/409/54331/59345/109/2791/196883/2869/156"
"hsa04724","Glutamatergic synapse",43,0.39379172762759,1.64199278939098,0.0143363364363069,0.0410974977840798,0.0250077447610767,983,"tags=40%, list=16%, signal=33%","5579/5330/113/3708/6507/54331/3709/3710/59345/9454/109/8605/2752/2791/1742/85358/196883"
"hsa04972","Pancreatic secretion",30,0.439758848700899,1.69101698140575,0.01677428373291,0.0476326358830748,0.0289843631531912,809,"tags=33%, list=13%, signal=29%","489/5579/5330/3778/113/3708/3709/3710/109/493"
"hsa03440","Homologous recombination",21,-0.47650211046572,-1.6980285959362,0.0170530435052454,0.0479716457484006,0.029190649974547,1349,"tags=43%, list=22%, signal=33%","5889/4361/8438/10714/146956/7517/25788/5888/83990"
