Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSG00000109062,SLC9A3R1,Gene Expression,0.443534824801633,0.0,0.0,73515,33.62985298228503,1548
ENSG00000177156,TALDO1,Gene Expression,0.4428016461592471,0.0,0.0,18303,8.217964907517212,1387
ENSG00000177685,CRACR2B,Gene Expression,0.44106274672875445,0.0,0.0,23883,10.727856200556177,1408
ENSG00000121101,TEX14,Gene Expression,0.44061978200879226,0.0,0.0,8712,3.7948528375718467,1174
ENSG00000142156,COL6A1,Gene Expression,0.4403466489750464,0.0,0.0,30396,29.45550037668967,1611
ENSG00000123200,ZC3H13,Gene Expression,0.4402269017440573,0.0,0.0,21051,9.608146425409583,1389
ENSG00000110092,CCND1,Gene Expression,0.4397560457638883,0.0,0.0,48353,22.616814083865343,1511
ENSG00000072310,SREBF1,Gene Expression,0.43922248910210954,0.0,0.0,42493,18.584302385854972,1488
ENSG00000213145,CRIP1,Gene Expression,0.43892857395177937,0.0,0.0,62402,29.875062936424808,1552
ENSG00000178568,ERBB4,Gene Expression,0.4382618290039375,0.0,0.0,15450,6.543090161044504,1281
ENSG00000161395,PGAP3,Gene Expression,0.43802684960848876,0.0,0.0,51437,23.462943022744238,1521
ENSG00000112715,VEGFA,Gene Expression,0.4369097849846635,0.0,0.0,37663,18.19982531573263,1487
ENSG00000172757,CFL1,Gene Expression,0.4359482943911492,0.0,0.0,75894,36.05549656075522,1568
ENSG00000079462,PAFAH1B3,Gene Expression,0.4345965951245305,0.0,0.0,23005,10.282597798283405,1395
ENSG00000110169,HPX,Gene Expression,0.4345297066900499,0.0,0.0,5497,2.396086918695901,1077
ENSG00000167114,SLC27A4,Gene Expression,0.43360442727287496,0.0,0.0,17737,7.758808545891911,1362
ENSG00000108604,SMARCD2,Gene Expression,0.432905312671652,0.0,0.0,46171,21.653441443309568,1514
ENSG00000131149,GSE1,Gene Expression,0.43286541279035273,0.0,0.0,34366,15.123713480467384,1458
ENSG00000162989,KCNJ3,Gene Expression,0.432713008595968,0.0,0.0,10017,4.302126423678949,1234
ENSG00000213246,SUPT4H1,Gene Expression,0.4322644994430621,0.0,0.0,12879,5.520311123394634,1304
ENSG00000277363,SRCIN1,Gene Expression,0.4321277195514867,0.0,0.0,9928,4.669401668186029,1259
ENSG00000141582,CBX4,Gene Expression,0.4318733899889674,0.0,0.0,32921,15.53701426840803,1483
