"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MAP3K7",896.479657497801,0.0100485284362627,0.108710001352856,0.0924342591409484,0.926353021073526,0.999690621664146
"COL25A1",10.4758655509048,-0.600472772687935,0.806487563717252,-0.744553046695777,0.456541961581107,0.999690621664146
"TET3",723.967499983303,0.137713669435925,0.197553928864187,0.697094055419165,0.485743934174164,0.999690621664146
"HLA-DRB5",8.00883846544998,-1.12732187015952,1.16759531560467,-0.965507359521831,0.334290751599307,0.977629781968375
"FAM170B",0.0836428885273737,0.262860546729768,3.30920503854024,0.0794331398835658,0.936688110094348,NA
"DRP2",14.5309104470314,1.27481057087104,0.590895427128984,2.15742162207115,0.0309728280070248,0.506276308704249
"TSPAN10",29.608166507027,-0.480297126713877,0.464997934398757,-1.03290163500383,0.301649933565364,0.969576105419825
"ZNF703",274.059791955438,-0.0355403079213732,0.467214005560593,-0.0760685841999315,0.939364533877436,0.999690621664146
"C8orf56",0.263010343962984,-0.26980707456049,1.62059980145036,-0.166485935836242,0.867774550292528,NA
"RUFY4",3.8093688350722,-0.5960297999556,1.05775423585441,-0.563486091335905,0.573103928476388,0.999690621664146
"GDE1",1306.43225383864,-0.259732629129285,0.210855168580385,-1.23180584511148,0.218021619357882,0.923970176484899
"SLC20A2",1024.94322871875,-0.200263007620836,0.257380186949978,-0.778082454574321,0.436520405507228,0.999690621664146
"TMEM154",24.0824732381175,-0.104997319017518,0.812237147532326,-0.129269289562183,0.897144570890744,0.999690621664146
"OR2T33",0.0488365867546343,-0.247623672182075,3.30920503854024,-0.0748287486868167,0.940350967790719,NA
"RARA",301.939133724365,0.247498716230898,0.175282506596162,1.41199895549826,0.157950268730849,0.868509662276732
"CCDC60",0.158573431534409,0.595795007233053,2.70772276918885,0.220035453412217,0.825843543427296,NA
"PLA2G5",0.0607541054083601,0.151885220429303,3.30920503854024,0.0458977968002559,0.96339171022707,NA
"TRIM49C",6.81551738546838,3.2523022055045,1.84508907440707,1.76268032292677,0.077954421302199,0.717778127275169
"ORC2",441.791180491229,0.0377542274534295,0.163804998052134,0.230482756340642,0.817716661279667,0.999690621664146
"OR2A7",7.79310845607336,0.297445071283759,0.596559465626032,0.498600874552578,0.618060588919512,0.999690621664146
"CXCL6",3.36452915478889,-0.472444059969292,1.36129177827509,-0.347055691886961,0.728549479769434,0.999690621664146
"ZNF567",143.484608514817,0.294875057411249,0.273389535906668,1.07858940699148,0.280770805621606,0.961709366886229
"XRCC3",573.871628260474,0.219119272717226,0.177848536172593,1.23205553125599,0.217928341128033,0.923970176484899
"BCL7B",505.210239104143,0.268612654064084,0.145144602284814,1.8506554831229,0.0642191322391057,0.670347332812502
"RUNDC1",434.357420782803,-0.202673890508423,0.208216292799483,-0.973381514882711,0.330363722613704,0.97679920848734
